title,published_at,channel_title,duration,view_count,like_count,comment_count,category
NRL 2024 | Broncos v Bulldogs | Match Highlights,2024-07-27 07:06:29+00:00,NRL - National Rugby League,PT4M59S,247547,2822,567,Sports
We Hosted a Bed Wars Tournament!,2024-08-02 16:15:02+00:00,PWR,PT21M45S,257633,8905,559,Gaming
Hermitcraft 10: Episode 22 - MACES & BASES,2024-07-30 19:00:30+00:00,Grian,PT31M24S,1130079,76474,3944,Gaming
Minecraft Hermitcraft :: I'm Not Good at 1.21,2024-07-31 20:10:41+00:00,BdoubleO100,PT27M53S,230436,19466,663,Gaming
Chelsea 3-0 Club America | HIGHLIGHTS | Chelsea FC USA Tour 2024,2024-08-01 03:26:31+00:00,Chelsea Football Club,PT4M8S,1053109,20952,853,Sports
Champions 2024 Skin Reveal Trailer // VALORANT,2024-07-31 14:00:34+00:00,VALORANT,PT1M35S,627518,27673,1172,Gaming
Donald Trump speaks for the 1st time on the assassination attempt,2024-07-19 02:58:05+00:00,FOX 9 Minneapolis-St. Paul,PT14M17S,9924988,205908,25960,News & Politics
[BLACKSWAN] ‘Roll Up’ Official Music Video,2024-07-31 09:00:08+00:00,Blackswan Official,PT3M17S,807786,116436,19768,Music
BABY FOOD PRANK ON KAED !!,2024-07-31 01:01:53+00:00,B N S,PT35M17S,188878,7657,358,Film & Animation
GORDO x Drake - Healing (Official Music Video),2024-07-31 00:00:06+00:00,GORDO,PT7M17S,860730,76792,7128,Music
AMP FRESHMAN CYPHER 2024,2024-07-28 22:00:07+00:00,AMP,PT12M19S,7364817,536074,49507,Entertainment
"LL COOL J Leaves Jay-Z & Kanye Off Def Jam Mt. Rushmore, Talks Kendrick vs Drake, GOAT & New Album",2024-07-31 16:00:07+00:00,Club Shay Shay,PT1H37M11S,904035,28192,3628,People & Blogs
"Stray Kids ""Stray Kids"" Video",2024-08-01 14:58:58+00:00,Stray Kids,PT3M25S,2135262,494377,28948,People & Blogs
TEAM K LEAGUE 3-4 TOTTENHAM HOTSPUR | HIGHLIGHTS | SONNY SCORES DOUBLE IN SEOUL,2024-07-31 15:13:38+00:00,Tottenham Hotspur,PT8M11S,462940,8298,452,Sports
20 WOMEN VS 1 YOUTUBER: Football Edition,2024-07-30 18:03:54+00:00,ChrisMD,PT45M,2370038,101161,2660,Entertainment
I added humans to Minecraft...,2024-07-30 01:57:36+00:00,Dream,PT26M44S,4107873,368566,40573,Gaming
DRAGON BALL: Sparking! ZERO – Saiyan & Namek Sagas Character Trailer,2024-07-30 14:00:06+00:00,Bandai Namco Entertainment America,PT3M27S,1121806,72103,5845,Gaming
