title,published_at,channel_title,duration,view_count,like_count,comment_count,category,duration_seconds,duration_range,publish_hour,publish_day_of_week,publish_minute,publish_time
WHEN IN TEXAS SHOW UP AND SHOW OUT 😱#moto #bikelife #125yz #usa,2024-07-17 10:54:37+00:00,Yorick ' Booster,PT11S,3053553,69335,144,Autos & Vehicles,11.0,0-5 min,10,Wednesday,54,10.9
World’s smallest 4K headset 😎 #tech #vr #technology #virtualreality #insideout2,2024-07-17 12:52:30+00:00,Immersed,PT14S,6807458,155472,199,Science & Technology,14.0,0-5 min,12,Wednesday,52,12.866666666666667
I Built a Robot to Confront My Greatest Fear,2024-07-17 15:04:46+00:00,Basically Homeless,PT32M27S,538406,37817,2012,Science & Technology,1947.0,20-60 min,15,Wednesday,4,15.066666666666666
This Game Is Wild,2024-07-17 16:00:00+00:00,MrBeast 2,PT21S,75884182,3015577,6795,Sports,21.0,0-5 min,16,Wednesday,0,16.0
One wrong move and this heavy haul could end in disaster! #reallifetruckers #australiantrucks,2024-07-17 20:00:02+00:00,Ultimate Truckers,PT20S,1605572,104542,847,Autos & Vehicles,20.0,0-5 min,20,Wednesday,0,20.0
"¿Quién tiene mejor seguridad, Maduro o Trump?",2024-07-17 20:23:27+00:00,Ecuador Al Dia 365,PT24S,5808247,65639,3798,News & Politics,24.0,0-5 min,20,Wednesday,23,20.383333333333333
This is Insane 😲,2024-07-18 10:00:58+00:00,Trackoholic,PT14S,11135562,1158181,2001,Sports,14.0,0-5 min,10,Thursday,0,10.0
MSNBC Host Roasted Over Comment on Trump's Ear Bandage,2024-07-18 11:44:25+00:00,Red Shorts Politics,PT49S,3871122,245423,7826,News & Politics,49.0,0-5 min,11,Thursday,44,11.733333333333333
The Person Who Invented This Walking Bike Is Genius #shorts,2024-07-18 14:28:40+00:00,Viral Maniacs,PT52S,2446135,96158,1396,Autos & Vehicles,52.0,0-5 min,14,Thursday,28,14.466666666666667
Introducing the Google Pixel 9 Pro,2024-07-18 16:01:57+00:00,Made by Google,PT30S,6783628,27255,2617,Science & Technology,30.0,0-5 min,16,Thursday,1,16.016666666666666
I Built My Dream Keyboard from Absolute Scratch,2024-07-18 17:00:03+00:00,Christian Selig,PT21M52S,490793,24543,1702,Science & Technology,1312.0,20-60 min,17,Thursday,0,17.0
#samsung #retrophone #nostalgia #x100,2024-07-18 20:27:50+00:00,mobijunk,PT14S,13497688,559211,6312,Science & Technology,14.0,0-5 min,20,Thursday,27,20.45
I tested the 3rd best hybrid mechanic in my city,2024-07-18 22:31:00+00:00,I wouldn't take my car there,PT1M,9728576,498666,3884,Autos & Vehicles,60.0,0-5 min,22,Thursday,31,22.516666666666666
No way he thought he could gap the SVJ 😭😂 @VNEliteExotics #svj #svj63 Lamborghini Aventador SVJ,2024-07-18 23:37:51+00:00,supercarscreams,PT19S,7785334,566242,7996,Autos & Vehicles,19.0,0-5 min,23,Thursday,37,23.616666666666667
Donald Trump speaks for the 1st time on the assassination attempt,2024-07-19 02:58:05+00:00,FOX 9 Minneapolis-St. Paul,PT14M17S,9924988,205908,25960,News & Politics,857.0,10-20 min,2,Friday,58,2.966666666666667
