title,published_at,channel_title,duration,view_count,like_count,comment_count,category,duration_seconds,duration_range,publish_hour,publish_day_of_week,publish_minute,publish_time
My Brain Hurts,2024-07-30 01:47:11+00:00,Stanimus,PT11S,17565009,424561,8433,Entertainment,11.0,0-5 min,1,Tuesday,47,1.7833333333333332
Sisters Drink 8 Cans of Soda a Day!,2024-07-30 01:57:16+00:00,DJ Riddim,PT39S,2820492,72787,4116,Entertainment,39.0,0-5 min,1,Tuesday,57,1.95
I added humans to Minecraft...,2024-07-30 01:57:36+00:00,Dream,PT26M44S,4107873,368566,40573,Gaming,1604.0,20-60 min,1,Tuesday,57,1.95
THAT REACTION TIME 😳 #shorts,2024-07-30 02:00:29+00:00,Highlight Reel,PT14S,1780959,21402,129,Sports,14.0,0-5 min,2,Tuesday,0,2.0
Don’t make friends and bring them to your house right away. #911lonestar #fyp #shots #tvshow,2024-07-30 02:07:38+00:00,April Movies,PT52S,8091825,629315,1983,Film & Animation,52.0,0-5 min,2,Tuesday,7,2.1166666666666667
"""Que muera el fascismo"": Así fue la salida del embajador de Venezuela del consulado en Chile",2024-07-30 02:27:43+00:00,T13,PT37S,2587952,50654,1323,News & Politics,37.0,0-5 min,2,Tuesday,27,2.45
Implementación de arranque seguro de motores trifásicos: Método 3x1 | Día 01,2024-07-30 02:29:34+00:00,Suiler Altamirano - Control +,PT2H2M58S,61900,6673,275,Science & Technology,7378.0,> 120 min,2,Tuesday,29,2.4833333333333334
Moneybagg Yo Opens Up About His Relationship & Life During an Intense Lie Detector Test..,2024-07-30 02:30:19+00:00,Open Thoughts,PT35M8S,445398,10007,890,Entertainment,2108.0,20-60 min,2,Tuesday,30,2.5
Bro was vibing to that citizen he didn’t know what was going on,2024-07-30 02:39:48+00:00,Prvnci,PT30S,10081082,399336,2453,Entertainment,30.0,0-5 min,2,Tuesday,39,2.65
AMD Zen 5深度评测：HX370能效超强！但大小核靠谱吗？,2024-07-30 03:42:07+00:00,极客湾Geekerwan,PT21M13S,80482,1952,236,Science & Technology,1273.0,20-60 min,3,Tuesday,42,3.7
"Yunli Trailer — ""Serendipity"" | Honkai: Star Rail",2024-07-30 04:00:00+00:00,Honkai: Star Rail,PT2M24S,774369,54811,2025,Gaming,144.0,0-5 min,4,Tuesday,0,4.0
Vehicle takes off during traffic stop in Kansas City Missouri,2024-07-30 04:12:11+00:00,PPV-TAHOE,PT51S,459921,11026,479,News & Politics,51.0,0-5 min,4,Tuesday,12,4.2
ImDOntai Reacts To The AMP Freshman Cypher 2024,2024-07-30 04:51:49+00:00,ImStillDontai,PT19M21S,901065,45281,1211,People & Blogs,1161.0,10-20 min,4,Tuesday,51,4.85
"Tren de Aragua y del llano pusieron ultimátum a Maduro| ""Tiene 72 horas para abandonar el poder""",2024-07-30 05:45:00+00:00,elambito,PT3M17S,2135763,49239,6435,News & Politics,197.0,0-5 min,5,Tuesday,45,5.75
【iPhone用戶必看】蘋果AI一小時使用感受！feat. iOS 18.1/通話錄音/智能文本/Siri｜大耳朵TV,2024-07-30 06:59:40+00:00,大耳朵TV,PT7M48S,73282,965,169,Science & Technology,468.0,5-10 min,6,Tuesday,59,6.983333333333333
Speed gets his payback 🤓,2024-07-30 07:15:05+00:00,SpeedUniverse,PT37S,3224966,133435,348,Sports,37.0,0-5 min,7,Tuesday,15,7.25
Amazingly talented photographer #movie #film #shorts,2024-07-30 07:22:45+00:00,Antonio,PT59S,2394133,153496,580,Film & Animation,59.0,0-5 min,7,Tuesday,22,7.366666666666666
"Spending $8,843,815 On The NEW DOPPELGANGER Ability. (Roblox Blade Ball)",2024-07-30 08:36:33+00:00,Foltyn,PT8M59S,818890,17540,3335,Gaming,539.0,5-10 min,8,Tuesday,36,8.6
I am speechless #wusworld,2024-07-30 08:48:00+00:00,Wu’s World,PT11S,5255605,203063,2021,Sports,11.0,0-5 min,8,Tuesday,48,8.8
Gorilla Glue Founder Appears On SharkTank For His Precious Son,2024-07-30 08:57:07+00:00,Abundance Wisdom,PT55S,7691462,503089,1858,Entertainment,55.0,0-5 min,8,Tuesday,57,8.95
When a submarine meets a fighter plane. #shorts #viral #trending #movierecap #movie,2024-07-30 11:37:43+00:00,Movie Prince,PT58S,1855737,54479,127,Film & Animation,58.0,0-5 min,11,Tuesday,37,11.616666666666667
When you have a GenZ flight attendant 😬,2024-07-30 12:00:42+00:00,Jeenie.Weenie,PT47S,9265959,668528,964,Entertainment,47.0,0-5 min,12,Tuesday,0,12.0
1❤️,2024-07-30 12:00:46+00:00,FASH,PT18S,9725589,821715,5904,Film & Animation,18.0,0-5 min,12,Tuesday,0,12.0
"Minecraft, But Anything You Build Comes to Life",2024-07-30 12:00:53+00:00,Skiddzie,PT22M32S,476714,8506,530,Gaming,1352.0,20-60 min,12,Tuesday,0,12.0
Visiting my grandmother😁😮#thesimpsons #simpsons #movie,2024-07-30 12:02:40+00:00,SimpsonsHome,PT1M,2894399,228062,238,Film & Animation,60.0,0-5 min,12,Tuesday,2,12.033333333333333
The Last Pokémon Meme Review (here),2024-07-30 12:15:03+00:00,MandJTV,PT23M16S,590222,36303,3169,Gaming,1396.0,20-60 min,12,Tuesday,15,12.25
Incredible Battery Breakthroughs to Watch,2024-07-30 12:16:50+00:00,Undecided with Matt Ferrell,PT15M23S,219960,11356,617,Science & Technology,923.0,10-20 min,12,Tuesday,16,12.266666666666667
The Bart And Maggie Duo💀 #shorts #viral,2024-07-30 12:20:47+00:00,MovieMemos,PT57S,1915401,99964,74,Film & Animation,57.0,0-5 min,12,Tuesday,20,12.333333333333334
He Didn't Expect This ‼️,2024-07-30 12:53:45+00:00,Urban Street +254,PT52S,3179428,215819,673,Film & Animation,52.0,0-5 min,12,Tuesday,53,12.883333333333333
Beating the Sisyphus allegations,2024-07-30 13:00:28+00:00,AstralSpiff,PT57M59S,367746,20998,981,Gaming,3479.0,20-60 min,13,Tuesday,0,13.0
Helldivers 2 - New Freedom’s Flame Premium Warbond Deployed | PS5 & PC Games,2024-07-30 13:00:29+00:00,PlayStation,PT1M1S,412412,15820,1931,Gaming,61.0,0-5 min,13,Tuesday,0,13.0
Ned Flanders Anger management,2024-07-30 13:00:38+00:00,Simpsons Hub,PT1M1S,2191991,205126,225,Film & Animation,61.0,0-5 min,13,Tuesday,0,13.0
25 Cool Blackout Gadgets Actually Worth Buying!,2024-07-30 13:00:45+00:00,EXCESSORIZE ME.,PT17M33S,102780,2952,131,Science & Technology,1053.0,10-20 min,13,Tuesday,0,13.0
Angry grandmother and fierce dog #cat #dog #kitten,2024-07-30 13:00:47+00:00,SAPUTRA,PT17S,2795725,31223,46,Film & Animation,17.0,0-5 min,13,Tuesday,0,13.0
DRAGON BALL: Sparking! ZERO – Saiyan & Namek Sagas Character Trailer,2024-07-30 14:00:06+00:00,Bandai Namco Entertainment America,PT3M27S,1121806,72103,5845,Gaming,207.0,0-5 min,14,Tuesday,0,14.0
How to SAVE Death Battle!,2024-07-30 14:00:06+00:00,DEATH BATTLE!,PT3M59S,423672,41281,4982,Entertainment,239.0,0-5 min,14,Tuesday,0,14.0
I Opened an Illegal Store in Minecraft,2024-07-30 14:00:14+00:00,Craftee,PT21M57S,468544,7756,516,Gaming,1317.0,20-60 min,14,Tuesday,0,14.0
The $2.1 Billion McDonald's Machine,2024-07-30 14:00:16+00:00,fern,PT10M35S,1359436,57035,3848,Entertainment,635.0,10-20 min,14,Tuesday,0,14.0
I hacked Raspberry Pi firmware for the World Record Overclock!,2024-07-30 14:00:28+00:00,Jeff Geerling,PT8M19S,165886,6961,377,Science & Technology,499.0,5-10 min,14,Tuesday,0,14.0
From Wheels to Tracks with the Push of a Button.,2024-07-30 14:00:29+00:00,Tech Booster,PT17S,1931086,55507,470,Autos & Vehicles,17.0,0-5 min,14,Tuesday,0,14.0
THIS is why I STOPPED posting videos!!!,2024-07-30 14:00:51+00:00,Al Bladez,PT33M36S,486397,46662,4544,People & Blogs,2016.0,20-60 min,14,Tuesday,0,14.0
Nikon Z6 III Review: A Little Rough Around the Edges!,2024-07-30 14:01:00+00:00,PetaPixel,PT17M25S,67390,2964,559,Science & Technology,1045.0,10-20 min,14,Tuesday,1,14.016666666666667
Cristiano Ronaldo ayuda mucho a la gente,2024-07-30 14:07:48+00:00,Ariel breton,PT1M1S,3777025,216548,3742,Sports,61.0,0-5 min,14,Tuesday,7,14.116666666666667
VPN ছাড়াই চলবে ফেসবুক | আসল রহস্য কি?,2024-07-30 14:17:26+00:00,AFR Technology,PT3M36S,502131,15169,1100,Science & Technology,216.0,0-5 min,14,Tuesday,17,14.283333333333333
He wanted to avenge his wife by shooting the murderer.🎬🍿#story #movie #shorts,2024-07-30 14:30:18+00:00,TVGems,PT58S,1265317,104224,193,Film & Animation,58.0,0-5 min,14,Tuesday,30,14.5
FCC Banned GMRS Repeater Linking? Why?,2024-07-30 14:37:04+00:00,Ham Radio Crash Course,PT12M9S,35038,1923,616,Science & Technology,729.0,10-20 min,14,Tuesday,37,14.616666666666667
Mega Truck is Nutz 😂,2024-07-30 14:50:30+00:00,Judah,PT21S,309550,12303,28,Autos & Vehicles,21.0,0-5 min,14,Tuesday,50,14.833333333333334
Finding Out I'm PREGNANT,2024-07-30 15:00:02+00:00,Connor And Liana,PT13M23S,653610,53509,7046,Entertainment,803.0,10-20 min,15,Tuesday,0,15.0
Thief STEALS MOTORCYCLE as alarm goes off and people watch,2024-07-30 15:00:03+00:00,Bikes and Beards,PT58S,2835176,121446,599,Autos & Vehicles,58.0,0-5 min,15,Tuesday,0,15.0
Tesla CCS Adaptor won't fit Cybertruck UNLESS...,2024-07-30 15:24:54+00:00,Jeremy Judkins,PT30S,1953216,50101,751,Autos & Vehicles,30.0,0-5 min,15,Tuesday,24,15.4
dogs being cute part 8#funny #goldens #funnyanimals #pets #lovegoldens #funnypets #cutegolden,2024-07-30 15:58:37+00:00,Bestinpet ,PT1M,4322041,328402,285,Entertainment,60.0,0-5 min,15,Tuesday,58,15.966666666666667
That one photogenic friend 🙄,2024-07-30 16:03:06+00:00,Liv Swearingen (LIV),PT27S,9170250,467077,851,Entertainment,27.0,0-5 min,16,Tuesday,3,16.05
Why Is She So Defensive?,2024-07-30 16:09:01+00:00,Amala Ekpunobi,PT57S,2403530,160093,3396,Entertainment,57.0,0-5 min,16,Tuesday,9,16.15
Part 1/7 1971 TH350. #yt #chevy #transmission #rebuild #k10 #truck #ford #th350 #hydraulic #fypage,2024-07-30 16:39:46+00:00,FSP Transmissions,PT1M1S,504000,16742,136,Autos & Vehicles,61.0,0-5 min,16,Tuesday,39,16.65
Who has the Worst Setup at Linus Tech Tips,2024-07-30 16:57:03+00:00,Linus Tech Tips,PT29M5S,1329440,47272,2642,Science & Technology,1745.0,20-60 min,16,Tuesday,57,16.95
I BOUGHT A WRECKED LAMBORGHINI URUS FOR MY GIRLFRIEND,2024-07-30 17:00:09+00:00,Mat Armstrong,PT28M37S,2276687,111717,3746,Autos & Vehicles,1717.0,20-60 min,17,Tuesday,0,17.0
Building an ITX Gaming PC in Micro Center and Giving It Away!,2024-07-30 17:01:58+00:00,Greg Salazar,PT16M29S,46755,3750,328,Science & Technology,989.0,10-20 min,17,Tuesday,1,17.016666666666666
I Tried The World’s Most Expensive Steak,2024-07-30 17:02:52+00:00,Calfreezy,PT21M51S,489643,20010,352,Entertainment,1311.0,20-60 min,17,Tuesday,2,17.033333333333335
Sony and Honda made a car! 👀,2024-07-30 17:03:05+00:00,Forrest's Auto Reviews,PT1M,1624594,96047,1786,Autos & Vehicles,60.0,0-5 min,17,Tuesday,3,17.05
Eleanor's Aggressive Mothering | Best Mom's in History #shorts,2024-07-30 17:29:55+00:00,Extra History,PT53S,4153498,533429,1195,Film & Animation,53.0,0-5 min,17,Tuesday,29,17.483333333333334
Apple Intelligence Beta Hands-On | Incredibly USEFUL Features!,2024-07-30 17:47:50+00:00,MacRumors,PT4M30S,136902,2010,234,Science & Technology,270.0,0-5 min,17,Tuesday,47,17.783333333333335
20 WOMEN VS 1 YOUTUBER: Football Edition,2024-07-30 18:03:54+00:00,ChrisMD,PT45M,2370038,101161,2660,Entertainment,2700.0,20-60 min,18,Tuesday,3,18.05
Age Saver!!!,2024-07-30 18:15:48+00:00,WeStarMoney Records,PT55S,3570324,315590,1072,Film & Animation,55.0,0-5 min,18,Tuesday,15,18.25
Fairfax City Police Pulls Over Motorcyclists - Passes Vibe Check 😎 #shorts,2024-07-30 18:28:44+00:00,Cop Humor,PT51S,928670,57181,154,Autos & Vehicles,51.0,0-5 min,18,Tuesday,28,18.466666666666665
“That bat was so heavy” 🤣 #shorts #mlb,2024-07-30 18:54:00+00:00,CBS Sports,PT28S,761977,30319,147,Sports,28.0,0-5 min,18,Tuesday,54,18.9
They Became Friends… #shorts #viral,2024-07-30 18:57:03+00:00,LudwigMovies,PT1M,6981621,252175,982,Film & Animation,60.0,0-5 min,18,Tuesday,57,18.95
Give Me Your Soul 😈 (Animation Meme) #shorts,2024-07-30 19:00:10+00:00,Nutshell Animations,PT23S,4576877,376882,967,Film & Animation,23.0,0-5 min,19,Tuesday,0,19.0
Hermitcraft 10: Episode 22 - MACES & BASES,2024-07-30 19:00:30+00:00,Grian,PT31M24S,1130079,76474,3944,Gaming,1884.0,20-60 min,19,Tuesday,0,19.0
I Have to Pull the Engine 🤦‍♂️,2024-07-30 19:00:36+00:00,Speed Bump Garage,PT1M,463470,22755,328,Autos & Vehicles,60.0,0-5 min,19,Tuesday,0,19.0
Bart's enemy in home #simpsons #shorts,2024-07-30 19:20:14+00:00,Simpsons Factory,PT56S,6449557,269538,157,Film & Animation,56.0,0-5 min,19,Tuesday,20,19.333333333333332
"La Cracka x Foolio - ""50K"" (Official Music Video)",2024-07-30 19:30:07+00:00,La Cracka,PT2M17S,531872,29224,3346,People & Blogs,137.0,0-5 min,19,Tuesday,30,19.5
Flexing Jewelry In The Hood Gone Wrong😂Watch The Full Video!,2024-07-30 19:37:57+00:00,FamousQue,PT1M1S,1732470,78086,2224,Entertainment,61.0,0-5 min,19,Tuesday,37,19.616666666666667
Slim Shady Destroys Eminem for Rapping like AI 😅,2024-07-30 19:38:48+00:00,SlimShots,PT33S,3752957,195278,2201,Entertainment,33.0,0-5 min,19,Tuesday,38,19.633333333333333
This Height Difference Is CRAZY 🤣,2024-07-30 19:41:37+00:00,Ben Casalinho Shorts,PT1M,681109,34406,214,Sports,60.0,0-5 min,19,Tuesday,41,19.683333333333334
#pov they have a dark secret… ib: @SophiaJones,2024-07-30 20:00:07+00:00,Jessica Kaylee,PT13S,7137404,461520,1246,Entertainment,13.0,0-5 min,20,Tuesday,0,20.0
Trump COLLAPSES when asked to defend picking JD Vance,2024-07-30 20:00:26+00:00,David Pakman Show,PT8M27S,1585480,57558,11334,News & Politics,507.0,5-10 min,20,Tuesday,0,20.0
Which college is Wide Receiver U? 🤔,2024-07-30 20:00:30+00:00,St. Brown Podcast,PT45S,392753,22066,738,Sports,45.0,0-5 min,20,Tuesday,0,20.0
How Apple subtly kills the resale market #carterpcs #tech #techtok #gaming #techfacts #apple,2024-07-30 20:03:27+00:00,CarterPCs,PT43S,2275076,202291,1464,Science & Technology,43.0,0-5 min,20,Tuesday,3,20.05
Every town in this video is real,2024-07-30 20:07:35+00:00,Daniel Thrasher,PT40S,3208371,301941,2155,Entertainment,40.0,0-5 min,20,Tuesday,7,20.116666666666667
Wolverine and Xavier came for Quicksilver...😳,2024-07-30 20:08:35+00:00,Cartoon Home,PT59S,8054443,637736,808,Film & Animation,59.0,0-5 min,20,Tuesday,8,20.133333333333333
Explain THIS 😂 RENE VACA,2024-07-30 20:09:54+00:00,Rene Vaca,PT56S,2086563,121610,1298,Film & Animation,56.0,0-5 min,20,Tuesday,9,20.15
I made 1 guy fight ALL of Twitch Chat in TABS,2024-07-30 20:28:13+00:00,DougDoug,PT33M26S,1544933,81227,2789,Gaming,2006.0,20-60 min,20,Tuesday,28,20.466666666666665
USA Women’s Gymnastics take gold again 🥇 (via sunisalee_/TT),2024-07-30 20:31:23+00:00,Bleacher Report,PT11S,2885722,180309,1214,Sports,11.0,0-5 min,20,Tuesday,31,20.516666666666666
Submission of the year?🤔😎,2024-07-30 20:40:17+00:00,Paddy The Baddy,PT1M,726235,19800,903,Sports,60.0,0-5 min,20,Tuesday,40,20.666666666666668
Better Than Kodi for FREE Movies & TV Shows on ANY Firestick,2024-07-30 20:45:40+00:00,Electrical MD,PT17M13S,126757,7214,475,Science & Technology,1033.0,10-20 min,20,Tuesday,45,20.75
Homer Is A Professional Couple Breaker #shorts,2024-07-30 21:30:05+00:00,Cartoon Humor ,PT50S,3334802,325335,312,Film & Animation,50.0,0-5 min,21,Tuesday,30,21.5
THIS DEALER IS A G!!,2024-07-30 21:44:38+00:00,Lobanjica LIVE,PT56S,5159531,326285,558,Entertainment,56.0,0-5 min,21,Tuesday,44,21.733333333333334
When You Find Out It Wasn’t Ryan Reynolds Dancing To NSYNC In Deadpool & Wolverine #shorts,2024-07-30 21:49:19+00:00,Jarred Jermaine,PT20S,4069639,208590,2156,Entertainment,20.0,0-5 min,21,Tuesday,49,21.816666666666666
dw i stuck the landing #olympics2024,2024-07-30 22:00:43+00:00,yjmoonie,PT16S,4472985,308174,717,Entertainment,16.0,0-5 min,22,Tuesday,0,22.0
Bro got Motion 👀 #boxing,2024-07-30 22:19:36+00:00,STREETBEEFS,PT13S,1568058,39447,4155,Sports,13.0,0-5 min,22,Tuesday,19,22.316666666666666
Bart Gets Replaced…,2024-07-30 22:20:29+00:00,Presidents Argue,PT1M,3588688,192166,220,Film & Animation,60.0,0-5 min,22,Tuesday,20,22.333333333333332
When in doubt ask one of the boys #fyp #sportbikelife #sportbike #bikelife #motocycle #goodvibes,2024-07-30 22:27:36+00:00,RipItRiley,PT41S,8470681,656774,10176,Autos & Vehicles,41.0,0-5 min,22,Tuesday,27,22.45
Walrus gets floating couch so that he’ll sinking boats 🚤 #shorts #walrus,2024-07-30 22:56:57+00:00,That Good News Girl,PT1M1S,3450159,271043,3326,Entertainment,61.0,0-5 min,22,Tuesday,56,22.933333333333334
PETERPOOL IN DEADPOOL AND WOLVERINE #madprz,2024-07-30 23:01:26+00:00,Mad Prz,PT36S,8035043,457786,2838,Film & Animation,36.0,0-5 min,23,Tuesday,1,23.016666666666666
"He decided to take an extra swing, yikes ! #mlb #baseball #littleleague",2024-07-30 23:15:02+00:00,Kicks Clothing,PT10S,603771,14007,405,Sports,10.0,0-5 min,23,Tuesday,15,23.25
Rookie LeBron threatened to retire if KG wasn't named #NBA MVP 🤣 #shorts | KG: Certified,2024-07-30 23:26:18+00:00,ALL THE SMOKE,PT41S,559145,27182,1005,Sports,41.0,0-5 min,23,Tuesday,26,23.433333333333334
"Im good at imitating americans, and she is good at rolling her R ! I'm obsessed with each other",2024-07-30 23:28:17+00:00,Gabi_livin,PT59S,2667527,172063,1684,Entertainment,59.0,0-5 min,23,Tuesday,28,23.466666666666665
Poor Wilson #shorts #familyguy,2024-07-30 23:45:01+00:00,klv,PT1M1S,2673270,262924,364,Film & Animation,61.0,0-5 min,23,Tuesday,45,23.75
Simone Biles Leads Team USA to Gold with Unforgettable Floor Routine | Paris Olympics,2024-07-31 00:00:04+00:00,Peacock,PT6M3S,1435807,17751,1170,Sports,363.0,5-10 min,0,Wednesday,0,0.0
GORDO x Drake - Healing (Official Music Video),2024-07-31 00:00:06+00:00,GORDO,PT7M17S,860730,76792,7128,Music,437.0,5-10 min,0,Wednesday,0,0.0
There's a new level,2024-07-31 00:00:07+00:00,Gabriel Iglesias,PT45S,2037079,170974,347,Film & Animation,45.0,0-5 min,0,Wednesday,0,0.0
INFLUENCERS SHAMED For Renting House Ft. The Beverly Halls | Dhar Mann Studios,2024-07-31 00:00:08+00:00,Dhar Mann Studios,PT37M9S,4887844,75872,5490,Film & Animation,2229.0,20-60 min,0,Wednesday,0,0.0
Screwly G - Screwly This Screwly That (Official Video),2024-07-31 00:01:22+00:00,Screwly G,PT3M13S,374294,19768,925,Music,193.0,0-5 min,0,Wednesday,1,0.016666666666666666
DOORS: FLOOR 2 FULL TRAILER,2024-07-31 01:00:26+00:00,LSPLASH,PT1M3S,1911564,108324,19594,Gaming,63.0,0-5 min,1,Wednesday,0,1.0
Pete Buttigieg Dismantles MAGA's Supporting the Working Class Claim,2024-07-31 01:00:32+00:00,NowThis Impact,PT49S,498496,30482,1512,News & Politics,49.0,0-5 min,1,Wednesday,0,1.0
BABY FOOD PRANK ON KAED !!,2024-07-31 01:01:53+00:00,B N S,PT35M17S,188878,7657,358,Film & Animation,2117.0,20-60 min,1,Wednesday,1,1.0166666666666666
Top NBA Players by Position Today,2024-07-31 01:17:08+00:00,Sports Bio Corner,PT59S,2217215,81944,3503,Sports,59.0,0-5 min,1,Wednesday,17,1.2833333333333332
Marge doesn’t recognise her daughter #shrots #thesimpsons,2024-07-31 01:23:00+00:00,Mr.Shorox,PT58S,7835323,408361,518,Film & Animation,58.0,0-5 min,1,Wednesday,23,1.3833333333333333
Watch until the end 😀 @_angelo @Alexandra_Marasigan #sofimanassyan #friends #cars,2024-07-31 01:46:12+00:00,Sofi Manassyan,PT12S,15869057,1520478,14455,Entertainment,12.0,0-5 min,1,Wednesday,46,1.7666666666666666
Fixing 6.7 Powerstroke Engineering Failure,2024-07-31 01:59:46+00:00,Technician Red,PT57S,1261223,41681,2108,Autos & Vehicles,57.0,0-5 min,1,Wednesday,59,1.9833333333333334
Gobierno de Maduro ordena detener a Machado y González: Costa Rica ofreció asilo a los opositores,2024-07-31 02:08:08+00:00,CHV Noticias,PT20M49S,1267121,13961,4625,News & Politics,1249.0,20-60 min,2,Wednesday,8,2.1333333333333333
Mega Truck World Record Jump Attempt Full Send Aftermath #megatruck #crash #fyp #shorts,2024-07-31 02:30:13+00:00,Maxtorque87,PT20S,291950,9493,232,Autos & Vehicles,20.0,0-5 min,2,Wednesday,30,2.5
We’ve been lied too! 😭,2024-07-31 02:48:53+00:00,Deanobballin,PT20S,2528295,158063,1586,Entertainment,20.0,0-5 min,2,Wednesday,48,2.8
Barcelona vs. Manchester City in Orlando | Highlights | ESPN FC,2024-07-31 02:57:02+00:00,ESPN FC,PT9M42S,318226,4078,551,Sports,582.0,5-10 min,2,Wednesday,57,2.95
Kai Caught Fan Doxing U-Haul Location🤣 #shorts,2024-07-31 04:06:02+00:00,Virality Vid Media,PT55S,3076952,218983,524,Entertainment,55.0,0-5 min,4,Wednesday,6,4.1
Bane at Linebacker☠️ #bane #thaddboii #darkknightrises,2024-07-31 05:08:23+00:00,Thadd Boii,PT16S,320979,20698,179,Sports,16.0,0-5 min,5,Wednesday,8,5.133333333333334
Senator Kennedy's Shocking Revelations: What Really Happened to President Trump?,2024-07-31 05:12:10+00:00,Greg's English & Politics,PT20S,473573,28838,996,News & Politics,20.0,0-5 min,5,Wednesday,12,5.2
how many points are you scoring today?,2024-07-31 05:33:00+00:00,Ludwig,PT29S,2551698,184693,600,Sports,29.0,0-5 min,5,Wednesday,33,5.55
Samsung reveals solid-state battery with 600-mile range & 9-minute charging,2024-07-31 06:27:58+00:00,The Electric Viking,PT10M27S,102851,3896,673,Science & Technology,627.0,10-20 min,6,Wednesday,27,6.45
Tim became a baseball teacher #movie #shorts #therookie #action,2024-07-31 06:30:08+00:00,Gordon Recap,PT1M,3773298,282885,560,Film & Animation,60.0,0-5 min,6,Wednesday,30,6.5
Litterally #olympics #kimyeji #olympicgames,2024-07-31 08:21:50+00:00,Romy talks fashion,PT12S,1282635,67110,861,Sports,12.0,0-5 min,8,Wednesday,21,8.35
[BLACKSWAN] ‘Roll Up’ Official Music Video,2024-07-31 09:00:08+00:00,Blackswan Official,PT3M17S,807786,116436,19768,Music,197.0,0-5 min,9,Wednesday,0,9.0
How Well Do We Know Gaming Controllers?,2024-07-31 10:00:21+00:00,Good Mythical MORE,PT20M46S,156874,5593,385,Science & Technology,1246.0,20-60 min,10,Wednesday,0,10.0
Two top extremist organization leaders have been neutralized within 24 hours. #military #marines,2024-07-31 12:27:53+00:00,Kagan Dunlap,PT58S,877251,0,3011,News & Politics,58.0,0-5 min,12,Wednesday,27,12.45
Introducing The Wizarding World of Harry Potter™ - Ministry of Magic™,2024-07-31 12:30:42+00:00,Universal Orlando Resort,PT6M17S,508074,12626,1045,Travel & Events,377.0,5-10 min,12,Wednesday,30,12.5
"""Georgina Admits Crush on Neymar to Ronaldo! 😱""",2024-07-31 12:31:18+00:00,Ronaldo Recall,PT30S,8499250,469967,82618,Sports,30.0,0-5 min,12,Wednesday,31,12.516666666666667
Here's How Rolls-Royce Makes Its Cars Look Cheap,2024-07-31 12:59:55+00:00,Financian,PT1M,1221797,44639,484,Autos & Vehicles,60.0,0-5 min,12,Wednesday,59,12.983333333333333
One of the greatest moments after a PC Build.. #pc #pcbuild #pcgaming #gamingpc,2024-07-31 13:00:25+00:00,DanKamYouKnow,PT1M,311088,22748,536,Science & Technology,60.0,0-5 min,13,Wednesday,0,13.0
The tension 😬,2024-07-31 13:01:07+00:00,ESPN MLB,PT24S,327673,5376,172,Sports,24.0,0-5 min,13,Wednesday,1,13.016666666666667
Football Players Slap Challenge😱,2024-07-31 13:14:58+00:00,Football Arena,PT25S,9500051,308360,509,Sports,25.0,0-5 min,13,Wednesday,14,13.233333333333333
小蚂蚁被感动了！火影忍者 #佐助 #家庭,2024-07-31 13:30:25+00:00,火影忍者一家,PT54S,22531698,507573,927,Entertainment,54.0,0-5 min,13,Wednesday,30,13.5
Shane Gillis - Joke Before He Was Famous,2024-07-31 13:31:48+00:00,Comedy Top Plays,PT36S,891736,26371,194,Film & Animation,36.0,0-5 min,13,Wednesday,31,13.516666666666667
Pov Anxiety from Inside Out 2 won't let the boy's in the pool,2024-07-31 13:32:32+00:00,ToonPopi,PT29S,12734066,215264,194,Film & Animation,29.0,0-5 min,13,Wednesday,32,13.533333333333333
#waterproofingtv #mirrortv #waterprooftv #smarthomes #sylvox #electronics #homeupgrades,2024-07-31 13:37:55+00:00,Agripina Shaftic,PT13S,676354,4996,50,Science & Technology,13.0,0-5 min,13,Wednesday,37,13.616666666666667
Madden 25 | Franchise and Presentation Deep Dive,2024-07-31 14:00:07+00:00,EA SPORTS MADDEN NFL,PT4M33S,266683,7661,1631,Gaming,273.0,0-5 min,14,Wednesday,0,14.0
Fast USB Data Cable,2024-07-31 14:00:07+00:00,Tech Official,PT42S,142656,1191,4,Science & Technology,42.0,0-5 min,14,Wednesday,0,14.0
M4 Series Mac Studio & Mac Pro Leaks - is Apple INSANE?!,2024-07-31 14:00:18+00:00,Max Tech,PT11M25S,71056,2048,219,Science & Technology,685.0,10-20 min,14,Wednesday,0,14.0
"Shaboozey, BigXthaPlug - Drink Don't Need No Mix (Official Video)",2024-07-31 14:00:22+00:00,ShaboozeyVEVO,PT2M23S,1538964,24519,648,Music,143.0,0-5 min,14,Wednesday,0,14.0
Champions 2024 Skin Reveal Trailer // VALORANT,2024-07-31 14:00:34+00:00,VALORANT,PT1M35S,627518,27673,1172,Gaming,95.0,0-5 min,14,Wednesday,0,14.0
Translucent Tech - Introducing the Sky Cipher Special Edition Xbox Wireless Controller,2024-07-31 14:00:34+00:00,Xbox,PT31S,78736,3939,371,Science & Technology,31.0,0-5 min,14,Wednesday,0,14.0
Rookie cop discovers female criminal’s course of action. #therookie #tvshow #shorts,2024-07-31 14:17:00+00:00,Cole Classic Movies,PT59S,2981353,177869,450,Film & Animation,59.0,0-5 min,14,Wednesday,17,14.283333333333333
Introducing: UniFi Mobile Router Industrial,2024-07-31 14:42:49+00:00,Ubiquiti,PT1M11S,63492,1349,172,Science & Technology,71.0,0-5 min,14,Wednesday,42,14.7
